entity_name,property_name,tenant_name,ledger_type,ledger_group,ledger_category,ledger_code,ledger_description,month,quarter,year,profit
,,,,,,,,,,,1350.35
,,,,,,,,,,,1361.16
,,,,,,,,,,,1361.9
,,,,,,,,,,,1365.03
,,,,,,,,,,,13653.54
,,,,,,,,,,,13731.88
,,,,,,,,,,,138.44
,,,,,,,,,,,13827.84
,,,,,,,,,,,13863.09
,,,,,,,,,,,140.7
,,,,,,,,,,,1406.12
,,,,,,,,,,,141.08
,,,,,,,,,,,141.09
,,,,,,,,,,,143.36
,,,,,,,,,,,143.46
,,,,,,,,,,,1435.55
,,,,,,,,,,,144.16
,,,,,,,,,,,144.93
,,,,,,,,,,,1449.72
,,,,,,,,,,,145.62
,,,,,,,,,,,145.75
,,,,,,,,,,,14518.87
,,,,,,,,,,,146.54
,,,,,,,,,,,147.99
,,,,,,,,,,,148.13
,,,,,,,,,,,148.48
,,,,,,,,,,,149.76
,,,,,,,,,,,1493.21
,,,,,,,,,,,149772.12
,,,,,,,,,,,15.08
,,,,,,,,,,,15.34
,,,,,,,,,,,15.58
,,,,,,,,,,,15.62
,,,,,,,,,,,1500.0
,,,,,,,,,,,15163.31
,,,,,,,,,,,15255.21
,,,,,,,,,,,1529.64
,,,,,,,,,,,153.63
,,,,,,,,,,,153.66
,,,,,,,,,,,1538.0
,,,,,,,,,,,154415.07
,,,,,,,,,,,15465.45
,,,,,,,,,,,15609.72
,,,,,,,,,,,15781.25
,,,,,,,,,,,15824.85
,,,,,,,,,,,1588.85
,,,,,,,,,,,15956.6
,,,,,,,,,,,15998.75
,,,,,,,,,,,1607.23
,,,,,,,,,,,1607.31
,,,,,,,,,,,16130.04
,,,,,,,,,,,16176.51
,,,,,,,,,,,16307.29
,,,,,,,,,,,16307.3
,,,,,,,,,,,16346.31
,,,,,,,,,,,16352.34
,,,,,,,,,,,1644.59
,,,,,,,,,,,16445.32
,,,,,,,,,,,16475.44
,,,,,,,,,,,16532.04
,,,,,,,,,,,1662.66
,,,,,,,,,,,16687.0
,,,,,,,,,,,1681.13
,,,,,,,,,,,1698.3
,,,,,,,,,,,1699.01
,,,,,,,,,,,1699.4
,,,,,,,,,,,17.02
,,,,,,,,,,,17.57
,,,,,,,,,,,1718.08
,,,,,,,,,,,1731.56
,,,,,,,,,,,1732.86
,,,,,,,,,,,174.23
,,,,,,,,,,,17474.36
,,,,,,,,,,,1780.63
,,,,,,,,,,,18016.0
,,,,,,,,,,,184.0
,,,,,,,,,,,1851.21
,,,,,,,,,,,187.45
,,,,,,,,,,,18830.51
,,,,,,,,,,,1894.09
,,,,,,,,,,,1898.7
,,,,,,,,,,,19.17
,,,,,,,,,,,19.22
,,,,,,,,,,,19.69
,,,,,,,,,,,1908.6
,,,,,,,,,,,191.31
,,,,,,,,,,,191.81
,,,,,,,,,,,193.92
,,,,,,,,,,,1942.82
,,,,,,,,,,,19441.08
,,,,,,,,,,,196.07
,,,,,,,,,,,1964.18
,,,,,,,,,,,1978.02
,,,,,,,,,,,198.2
,,,,,,,,,,,1986.0
,,,,,,,,,,,199.35
,,,,,,,,,,,19937.91
,,,,,,,,,,,200.38
,,,,,,,,,,,2007.59
,,,,,,,,,,,2029.65
,,,,,,,,,,,203.98
,,,,,,,,,,,2030.49
,,,,,,,,,,,205.85
,,,,,,,,,,,2056.68
,,,,,,,,,,,20571.04
,,,,,,,,,,,206.23
,,,,,,,,,,,208.5
,,,,,,,,,,,208.52
,,,,,,,,,,,2083.25
,,,,,,,,,,,21.7
,,,,,,,,,,,210.79
,,,,,,,,,,,21126.45
,,,,,,,,,,,213.1
,,,,,,,,,,,213.11
,,,,,,,,,,,216.27
,,,,,,,,,,,2177.25
,,,,,,,,,,,218.64
,,,,,,,,,,,222.12
,,,,,,,,,,,222.69
,,,,,,,,,,,2250.0
,,,,,,,,,,,2254.47
,,,,,,,,,,,226.39
,,,,,,,,,,,23.08
,,,,,,,,,,,2307.0
,,,,,,,,,,,23570.96
,,,,,,,,,,,2582.83
,,,,,,,,,,,2597.34
,,,,,,,,,,,26.79
,,,,,,,,,,,2617.56
,,,,,,,,,,,2710.52
,,,,,,,,,,,2740.31
,,,,,,,,,,,2760.28
,,,,,,,,,,,2770.76
,,,,,,,,,,,278.77
,,,,,,,,,,,2798.08
,,,,,,,,,,,2800.88
,,,,,,,,,,,2824.43
,,,,,,,,,,,2831.66
,,,,,,,,,,,2855.46
,,,,,,,,,,,286.96
,,,,,,,,,,,288.38
,,,,,,,,,,,2887.19
,,,,,,,,,,,2918.57
,,,,,,,,,,,292.95
,,,,,,,,,,,2928.15
,,,,,,,,,,,294.75
,,,,,,,,,,,294.76
,,,,,,,,,,,2950.64
,,,,,,,,,,,2950.65
,,,,,,,,,,,297.99
,,,,,,,,,,,29743.44
,,,,,,,,,,,299.46
,,,,,,,,,,,30.7
,,,,,,,,,,,302.17
,,,,,,,,,,,303.11
,,,,,,,,,,,3030.93
,,,,,,,,,,,3053.49
,,,,,,,,,,,307.31
,,,,,,,,,,,309.18
,,,,,,,,,,,31.72
,,,,,,,,,,,31138.01
,,,,,,,,,,,312.59
,,,,,,,,,,,3124.44
,,,,,,,,,,,3124.89
,,,,,,,,,,,3158.78
,,,,,,,,,,,316.06
,,,,,,,,,,,31830.42
,,,,,,,,,,,31861.6
,,,,,,,,,,,319.5
,,,,,,,,,,,3193.88
,,,,,,,,,,,32211.73
,,,,,,,,,,,3228.6
,,,,,,,,,,,323.0
,,,,,,,,,,,323.01
,,,,,,,,,,,32569.64
,,,,,,,,,,,3264.07
,,,,,,,,,,,3264.08
,,,,,,,,,,,32923.66
,,,,,,,,,,,32944.33
,,,,,,,,,,,33.18
,,,,,,,,,,,332.2
,,,,,,,,,,,33285.45
,,,,,,,,,,,33285.46
,,,,,,,,,,,335.31
,,,,,,,,,,,3419.35
,,,,,,,,,,,344.62
,,,,,,,,,,,3463.12
,,,,,,,,,,,3530.79
,,,,,,,,,,,356.5
,,,,,,,,,,,358.52
,,,,,,,,,,,362.15
,,,,,,,,,,,364.38
,,,,,,,,,,,3654.35
,,,,,,,,,,,366.84
,,,,,,,,,,,368.38
,,,,,,,,,,,368.39
,,,,,,,,,,,370.2
,,,,,,,,,,,370.88
,,,,,,,,,,,371.3
,,,,,,,,,,,371.31
,,,,,,,,,,,3737.24
,,,,,,,,,,,374.51
,,,,,,,,,,,375.0
,,,,,,,,,,,378.93
,,,,,,,,,,,379.08
,,,,,,,,,,,3803.26
,,,,,,,,,,,38156.13
,,,,,,,,,,,383.24
,,,,,,,,,,,384.05
,,,,,,,,,,,3853.08
,,,,,,,,,,,3865.49
,,,,,,,,,,,387.75
,,,,,,,,,,,3891.64
,,,,,,,,,,,392.0
,,,,,,,,,,,3929.25
,,,,,,,,,,,3934.41
,,,,,,,,,,,397.3
,,,,,,,,,,,3978.12
,,,,,,,,,,,3978.13
,,,,,,,,,,,3981.95
,,,,,,,,,,,4.46
,,,,,,,,,,,4.7
,,,,,,,,,,,4.92
,,,,,,,,,,,400.66
,,,,,,,,,,,400.75
,,,,,,,,,,,4021.37
,,,,,,,,,,,405.07
,,,,,,,,,,,405.16
,,,,,,,,,,,4051.05
,,,,,,,,,,,4065.56
,,,,,,,,,,,4074.49
,,,,,,,,,,,409.21
,,,,,,,,,,,41.18
,,,,,,,,,,,41.19
,,,,,,,,,,,410.54
,,,,,,,,,,,4119.26
,,,,,,,,,,,414.16
,,,,,,,,,,,4149.68
,,,,,,,,,,,4165.03
,,,,,,,,,,,418.66
,,,,,,,,,,,419.11
,,,,,,,,,,,4210.3
,,,,,,,,,,,423.26
,,,,,,,,,,,4256.57
,,,,,,,,,,,428.84
,,,,,,,,,,,4292.78
,,,,,,,,,,,43.4
,,,,,,,,,,,433.56
,,,,,,,,,,,434.42
,,,,,,,,,,,4377.75
,,,,,,,,,,,438.38
,,,,,,,,,,,439.62
,,,,,,,,,,,443.15
,,,,,,,,,,,4435.87
,,,,,,,,,,,4475.03
,,,,,,,,,,,448.01
,,,,,,,,,,,448.02
,,,,,,,,,,,448.1
,,,,,,,,,,,4523.67
,,,,,,,,,,,453.96
,,,,,,,,,,,453.97
,,,,,,,,,,,457.64
,,,,,,,,,,,46.02
,,,,,,,,,,,46.16
,,,,,,,,,,,46.3
,,,,,,,,,,,460.89
,,,,,,,,,,,463.56
,,,,,,,,,,,464.3
,,,,,,,,,,,472.74
,,,,,,,,,,,47729.58
,,,,,,,,,,,47869.8
,,,,,,,,,,,479.01
,,,,,,,,,,,479.25
,,,,,,,,,,,483.24
,,,,,,,,,,,485.0
,,,,,,,,,,,48529.53
,,,,,,,,,,,486.36
,,,,,,,,,,,48644.02
,,,,,,,,,,,48750.0
,,,,,,,,,,,488.49
,,,,,,,,,,,49231.7
,,,,,,,,,,,49375.42
,,,,,,,,,,,496.5
,,,,,,,,,,,4978.77
,,,,,,,,,,,5.02
,,,,,,,,,,,50.78
,,,,,,,,,,,502.08
,,,,,,,,,,,50227.83
,,,,,,,,,,,503.38
,,,,,,,,,,,50352.75
,,,,,,,,,,,504.89
,,,,,,,,,,,5043.39
,,,,,,,,,,,506.87
,,,,,,,,,,,51021.27
,,,,,,,,,,,511.96
,,,,,,,,,,,512.5
,,,,,,,,,,,51471.69
,,,,,,,,,,,515.31
,,,,,,,,,,,5153.0
,,,,,,,,,,,5186.87
,,,,,,,,,,,519.65
,,,,,,,,,,,5194.68
,,,,,,,,,,,52031.16
,,,,,,,,,,,52602.93
,,,,,,,,,,,5298.0
,,,,,,,,,,,547.83
,,,,,,,,,,,549.17
,,,,,,,,,,,550.0
,,,,,,,,,,,5568.75
,,,,,,,,,,,562.76
,,,,,,,,,,,566.1
,,,,,,,,,,,567.0
,,,,,,,,,,,568.39
,,,,,,,,,,,5760.78
,,,,,,,,,,,582.45
,,,,,,,,,,,5874.78
,,,,,,,,,,,588.21
,,,,,,,,,,,589.51
,,,,,,,,,,,589.95
,,,,,,,,,,,5952.8
,,,,,,,,,,,5952.81
,,,,,,,,,,,5958.0
,,,,,,,,,,,6000.93
,,,,,,,,,,,6005.33
,,,,,,,,,,,6005.34
,,,,,,,,,,,6070.61
,,,,,,,,,,,609.91
,,,,,,,,,,,610.29
,,,,,,,,,,,6137.32
,,,,,,,,,,,6140.39
,,,,,,,,,,,6166.5
,,,,,,,,,,,6168.89
,,,,,,,,,,,6207.86
,,,,,,,,,,,622.36
,,,,,,,,,,,625.56
,,,,,,,,,,,630.63
,,,,,,,,,,,6345.06
,,,,,,,,,,,636.2
,,,,,,,,,,,6414.79
,,,,,,,,,,,643.12
,,,,,,,,,,,648.64
,,,,,,,,,,,6480.36
,,,,,,,,,,,65.1
,,,,,,,,,,,6555.61
,,,,,,,,,,,670.33
,,,,,,,,,,,6781.66
,,,,,,,,,,,68.92
